REGO,ID,C01_LNO,C03_REL,C04_SEX,C05_AGE,C06_STATUS,C08_CUR_ATTEND,C09_CUR_GRADE,C10_YNOT_ATTND,C12_HGC,C13_DID_WORK,C14_CLS_WKR,PPENSSS01,PPENGSIS02,PPHEALTH03A,PPHEALTH03B,PINSURANCE04,PPS01,PTWSP02,PCBEP03,PSBSFAG04,PSBSFAP05,SEAK01,CBLP02,PEAF03,SKILLS04,PSFEED05,MEM_RFACT
12,0000000010023,04,3,1,10,1,1,440,  ,430,2, ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,00964.5793
12,0000000010023,05,3,1,05,1,1,010,  ,000,2, ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,01073.8518
12,0000000010024,01,1,2,34,2, ,   ,  ,889,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,01561.8448
12,0000000010024,02,3,1,13,1,1,470,  ,460,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00964.5793
12,0000000010024,03,3,2,11,1,1,460,  ,450,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00974.7446
12,0000000010024,04,3,2,06,1,1,410,  ,010,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01063.1986
12,0000000010025,01,1,1,39,2, ,   ,  ,884,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,01116.8079
12,0000000010025,02,2,2,39,2, ,   ,  ,730,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01214.6087
12,0000000010025,03,3,2,11,1,1,470,  ,460,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00984.1966
12,0000000010025,04,3,2,10,1,1,450,  ,440,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00984.1966
12,0000000010025,05,3,2,04,1,1,010,  ,   , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01155.7387
12,0000000010025,06,8,2,61,3, ,   ,  ,250,2, ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,00974.2562
12,0000000010026,01,1,1,54,2, ,   ,  ,740,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,00983.1271
12,0000000010026,02,2,2,53,2, ,   ,  ,710,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01062.3491
12,0000000010026,03,3,1,19,1,3,   ,07,230,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01116.4521
12,0000000010026,04,5,1,30,2, ,   ,  ,250,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,01321.3351
12,0000000010026,05,3,2,36,2, ,   ,  ,834,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01214.6087
12,0000000010026,06,6,2,05,1,3,   ,09,000,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01073.5084
12,0000000010027,01,1,1,47,2, ,   ,  ,834,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,01168.9045
12,0000000010027,02,2,2,47,2, ,   ,  ,720,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00989.4010
12,0000000010027,03,3,2,23,1,3,   ,06,886,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01582.3613
12,0000000010027,04,3,2,21,1,2,740,  ,730,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01582.3613
12,0000000010027,05,3,1,15,1,1,480,  ,470,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01116.4521
12,0000000010027,06,3,1,13,1,1,470,  ,460,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00973.9328
12,0000000010027,07,3,2,09,1,1,440,  ,430,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01073.5084
12,0000000010027,08,3,1,03,1,3,   ,09,   , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01273.3688
12,0000000010028,01,1,1,52,2, ,   ,  ,852,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,00983.1271
12,0000000010028,02,2,2,21,2,3,   ,06,672,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,01582.3613
12,0000000010028,03,3,1,19,1,2,740,  ,730,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01116.4521
12,0000000010028,04,3,2,16,1,2,510,  ,500,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01299.6667
12,0000000010029,01,1,1,40,2, ,   ,  ,886,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,01185.6877
12,0000000010029,02,2,2,42,2, ,   ,  ,814,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,01422.0073
12,0000000010029,03,3,2,17,1,2,520,  ,510,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01299.6667
12,0000000010029,04,3,1,15,1,1,500,  ,490,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01116.4521
12,0000000010029,05,3,1,11,1,1,450,  ,440,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00973.9328
12,0000000010030,01,1,1,60,2, ,   ,  ,720,2, ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,01182.8105
